route name,olon,olat,dlon,dlat,country_dep,country_arr
"Indonesia-South Korea, Belawan - Yeosu",98.6859,3.7769,127.7383,34.7541,Indonesia,South Korea
"Indonesia-Australia, Belawan - Sydney",98.6859,3.7769,151.2093,-33.8587,Indonesia,Australia
"Indonesia-Australia, Belawan - Melbourne",98.6859,3.7769,144.9633,-37.8141,Indonesia,Australia
"Indonesia-Australia, Belawan - Brisbane",98.6859,3.7769,153.1175,-27.3842,Indonesia,Australia
"Indonesia-Australia, Belawan - Fremantle",98.6859,3.7769,115.7481,-32.0525,Indonesia,Australia
"Indonesia-Australia, Belawan - Port Hedland",98.6859,3.7769,118.574,-20.32,Indonesia,Australia
"Indonesia-Australia, Belawan - Darwin",98.6859,3.7769,130.8456,-12.4634,Indonesia,Australia
"Indonesia-Australia, Belawan - Adelaide",98.6859,3.7769,138.5056,-34.8444,Indonesia,Australia
"Indonesia-Australia, Belawan - Newcastle",98.6859,3.7769,151.7817,-32.9267,Indonesia,Australia
"Indonesia-China, Belawan - Shanghai",98.6859,3.7769,121.489,31.4064,Indonesia,China
"Indonesia-China, Belawan - Ningbo-Zhoushan",98.6859,3.7769,121.8107,29.9346,Indonesia,China
"Indonesia-China, Belawan - Shenzhen",98.6859,3.7769,113.8979,22.5618,Indonesia,China
"Indonesia-China, Belawan - Guangzhou",98.6859,3.7769,113.5596,23.101,Indonesia,China
"Indonesia-China, Belawan - Qingdao",98.6859,3.7769,120.3203,36.1069,Indonesia,China
"Indonesia-China, Belawan - Tianjin",98.6859,3.7769,117.7339,38.9708,Indonesia,China
"Indonesia-China, Belawan - Dalian",98.6859,3.7769,121.6167,38.9333,Indonesia,China
"Indonesia-China, Belawan - Xiamen",98.6859,3.7769,118.0648,24.4458,Indonesia,China
"Indonesia-China, Belawan - Lianyungang",98.6859,3.7769,119.5292,34.7306,Indonesia,China
"Indonesia-China, Belawan - Yingkou",98.6859,3.7769,122.2352,40.671,Indonesia,China
"Indonesia-SAFR, Belawan - Durban",98.6859,3.7769,31.0218,-29.8719,Indonesia,SAFR
"Indonesia-SAFR, Belawan - Cape Town",98.6859,3.7769,18.435,-33.918,Indonesia,SAFR
"Indonesia-SAFR, Belawan - Port Elizabeth",98.6859,3.7769,25.6022,-33.917,Indonesia,SAFR
"Indonesia-SAFR, Belawan - Richards Bay",98.6859,3.7769,32.0377,-28.783,Indonesia,SAFR
"Indonesia-SAFR, Belawan - Mossel Bay",98.6859,3.7769,22.146,-34.1809,Indonesia,SAFR
"Indonesia-SAFR, Belawan - East London",98.6859,3.7769,27.9116,-33.0176,Indonesia,SAFR
"Indonesia-SAFR, Belawan - Ngqura",98.6859,3.7769,25.688,-33.795,Indonesia,SAFR
"Indonesia-SAFR, Belawan - Port Nolloth",98.6859,3.7769,16.861,-29.2402,Indonesia,SAFR
"Indonesia-India, Teluk Bayur - Jawaharlal Nehru Port (JNPT)",100.3657,-0.9735,72.9416,18.9633,Indonesia,India
"Indonesia-India, Teluk Bayur - Mundra Port",100.3657,-0.9735,69.7079,22.7407,Indonesia,India
"Indonesia-India, Teluk Bayur - Deendayal (Kandla)",100.3657,-0.9735,70.2167,23.0333,Indonesia,India
